# Sega - Master System - Mark III - 20140508-000156
#=======================================================================================================================
#  Id       #  Title
#-----------------------------------------------------------------------------------------------------------------------
f0f35c22	20 em 1 (Brazil)
8da5c93f	Summer Games (Europe)
80eb1fff	Summer Games (Europe) (Beta)
0dbf3b4a	Super Basketball (USA) (Sample)
b995b4f0	Super Boy 4 (Korea) (Unl)
67c2f0ff	Super Boy II (Korea) (Pirate)
22c09cfd	Super Bubble Bobble (Korea)
7f7b568d	Super Golf (Europe) (Beta)
406aa0c2	Super Kick Off (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)
55bf81a0	Super Monaco GP (Europe)
3ef12baa	Super Monaco GP (USA)
a1d6d963	Super Monaco GP (USA) (Beta 1)
dd7adbcc	Super Monaco GP (USA) (Beta 2)
54f68c2a	Super Off Road (Europe)
7e0ef8cb	Super Racing (Japan)
e0b1aff8	Super Smash T.V. (Europe)
1d6244ee	Super Space Invaders (Europe)
914514e3	Super Tennis (USA, Europe)
bd1cc7df	Super Tetris (Korea) (Pirate)
e2fcb6f3	Super Wonder Boy (Japan, Europe)
b1da6a30	Super Wonder Boy - Monster World (Japan)
6f9ac98f	Superman - The Man of Steel (Europe)
93ca8152	T2 - The Arcade Game (Europe)
e1714a88	TV Colosso (Brazil)
85cfc9c9	Taito Chase H.Q. (Europe)
11ce074c	Taz in Escape from Mars (Brazil)
7cc3e837	Taz-Mania (Europe)
1b312e04	Taz-Mania (Europe) (Beta)
96e75f48	Tecmo World Cup '92 (Europe) (Beta)
5a1c3dde	Tecmo World Cup '93 (Europe)
2728faa3	Teddy Boy (USA, Europe)
316727dd	Teddy Boy Blues (Japan)
d7508041	Teddy Boy Blues (Japan) (Proto) (Ep-MyCard)
1a390b93	Tennis Ace (Europe)
8132ab2c	Tensai Bakabon (Japan)
ac56104f	Terminator 2 - Judgment Day (Europe)
e3d5ce9a	Terminator, The (Brazil)
edc5c012	Terminator, The (Europe)
8640e7e8	Three Dragon Story, The (Korea) (Unl)
c0ce19b1	Thunder Blade (Japan)
ae920e4b	Thunder Blade (USA, Europe)
51bd14be	Time Soldiers (USA, Europe)
0c2fc2de	Tom & Jerry (Europe) (Beta)
bf7b7285	Tom and Jerry - The Movie (Europe)
4f8d75ec	Toto World 3 (Korea) (Unl)
58b99750	TransBot (USA) (Beta)
4bc42857	TransBot (USA, Europe)
e5374022	Trivial Pursuit - Genus Edition (Europe) (En,Fr,De,Es)
178801d2	Ttoriui Moheom (Korea)
22cca9bb	Turma da Monica em O Resgate (Brazil)
b52d60c8	Ultima IV - Quest of the Avatar (Europe)
de9f8517	Ultima IV - Quest of the Avatar (Europe) (Beta)
15668ca4	Ultimate Soccer (Europe) (En,Fr,De,Es,It)
20f40cae	Vampire (Europe) (Beta)
dfb0b161	Vigilante (USA, Europe)
57f1545b	Virtua Fighter Animation (Brazil)
2db21448	WWF Wrestlemania - Steel Cage Challenge (Europe)
3d55759b	Walter Payton Football (USA)
5359762d	Wanted (USA, Europe)
88aa8ca6	Where in the World is Carmen Sandiego (Brazil)
428b1e7c	Where in the World is Carmen Sandiego (USA)
912d92af	Wimbledon (Europe)
7f3afe58	Wimbledon II (Europe)
2fec2b4a	Winter Olympics - Lillehammer '94 (Brazil) (En,Fr,De,Es,It,Pt,Sv,No)
a20290b6	Winter Olympics - Lillehammer '94 (Europe) (En,Fr,De,Es,It,Pt,Sv,No)
1f8efa1d	Wolfchild (Europe)
73705c02	Wonder Boy (USA, Europe)
679e1676	Wonder Boy III - The Dragon's Trap (USA, Europe)
8cbef0c1	Wonder Boy in Monster Land (USA, Europe)
8312c429	Wonder Boy in Monster Land (USA, Europe) (Beta)
7d7ce80b	Wonder Boy in Monster World (Europe)
81bff9bb	Wonder Boy in Monster World (Europe) (Beta)
a05258f5	Wonsiin (Korea) (Pirate)
315917d4	Woody Pop - Shinjinrui no Block Kuzushi (Japan)
c9a449b7	World Class Leader Board (Europe)
6e1ad6fd	World Cup Italia '90 (Europe)
a0cf8b15	World Cup Italia '90 (Europe) (Sample)
a6bf8f9e	World Cup USA 94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)
a2a60bc8	World Games (Europe)
914d3fc4	World Games (Europe) (Beta)
4aaad0d6	World Grand Prix (Europe)
7b369892	World Grand Prix (USA)
b5a9f824	World Grand Prix (USA) (Beta)
72112b75	World Soccer (World)
3e1387f6	X-Men - Mojo World (Brazil)
5c205ee1	Xenon 2 - Megablast (Europe) (Image Works)
ec726c0d	Xenon 2 - Megablast (Europe) (Virgin)
565c799f	Xyzolog (Korea)
32759751	Ys (Japan)
b33e2827	Ys - The Vanished Omens (USA, Europe)
a3ef13cb	Zaxxon 3-D (World)
bba74147	Zaxxon 3-D (World) (Beta)
7ba54510	Zillion (Europe) (Rev 2)
60c19645	Zillion (Japan, Europe) (En,Ja)
5718762c	Zillion (USA) (Rev 1)
2f2e3bc9	Zillion II - The Tri Formation (World)
9d9d0a5f	Zool - Ninja of the 'Nth' Dimension (Europe)
9c5bad91	[BIOS] Alex Kidd in Miracle World (Korea)
cf4a09ea	[BIOS] Alex Kidd in Miracle World (USA, Europe)
91e93385	[BIOS] Hang-On & Safari Hunt (USA, Europe) (v2.4)
8edf7ac6	[BIOS] Hang-On (USA, Europe) (v3.4)
e79bb689	[BIOS] Missile Defense 3-D (USA, Europe) (v4.4)
48d44a13	[BIOS] Sega Master System (Japan) (v2.1)
1a15dfcc	[BIOS] Sega Master System (USA) (M404) (Proto)
ee2c29ba	[BIOS] Sega Master System (USA) (Store Display Unit)
72bec693	[BIOS] Sega Master System (USA) (v1.0) (Proto)
0072ed54	[BIOS] Sega Master System (USA, Europe) (v1.3)
81c3476b	[BIOS] Sonic The Hedgehog (Europe)
